"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"118","KCNJ1",0.71,2.03,1.93,1.31,6810.79,0.56,4.54,2.25,1.19,1.77,9.63,1.435,2.51,0.56,1.31,1.93,2.51,6810.79
"119","SFTPD",15,32.13,41.81,11.13,49.915,27.64,34876.28,58.92,33.78,22.105,195.72,35.885,37.32,11.13,27.64,35.885,49.915,34876.28
"120","SPEM1",0,0,0,0,0,0,0,0,0,0,0,0.395,0,0,0,0,0,0.395
"121","APOB",3.2,13.83,2.51,2.51,2.655,11745.96,1.25,2.85,0.62,18.905,0.25,1.105,9.78,0.25,1.25,2.655,9.78,11745.96
"122","HABP2",0.68,3.32,16.27,0.05,254.24,7032.37,18.16,1.675,3.08,76.99,0.21,8.99,2.78,0.05,1.675,3.32,18.16,7032.37
"123","SERPINC1",2.51,2.53,3.89,2.66,12.93,54727.32,3.32,2.495,2.92,3.08,2.81,2.41,5.52,2.41,2.53,2.92,3.89,54727.32
"124","F11",0.54,0.07,2.05,2.78,525.87,3928.15,209.84,0.95,0.06,6.57,0.845,2.205,3.5,0.06,0.845,2.205,6.57,3928.15
"125","ATP4A",0.02,1.22,0.84,0.8,0.01,0.57,0,0.34,1.03,1354.875,13.67,0.39,16.03,0,0.34,0.8,1.22,1354.875
"126","LHX3",0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.41
"127","NXPH2",0,0,20.86,0,48.12,0,0,0,0.58,0,0,0,0,0,0,0,0,48.12
"128","SLC13A5",0.79,6.67,87.03,0.89,3.26,6840.04,1.55,1.355,12.27,2.025,2.445,10.875,27.64,0.79,1.55,3.26,12.27,6840.04
"129","SLC22A1",6.67,9.56,10.31,9.63,28.655,44761.41,12.18,15.855,6.26,10.75,22.345,11.38,17,6.26,9.63,11.38,17,44761.41
"130","ACSM5",24.28,208.38,23.25,41.22,270.22,5329.3,48.87,15.795,9.41,31.225,131.055,11.47,67.595,9.41,23.25,41.22,131.055,5329.3
"131","GSTA1",19.97,100.13,77.25,52.82,2032.845,74243.68,221.86,181.285,361.04,2451.495,2.61,12.595,145.02,2.61,52.82,145.02,361.04,74243.68
"132","ROS1",0,0,0,1.57,7.46,0.24,988.12,0,0,0.315,0,0,0,0,0,0,0.315,988.12
"133","GNAT1",0,0,0,0,0,2.03,0.11,0,0,0,0,0,1.28,0,0,0,0,2.03
"134","HAMP",9.2,37.05,31.45,6.52,6.675,46019.85,25.54,42.11,13.93,8.745,17.9,27.465,4.94,4.94,8.745,17.9,31.45,46019.85
"135","GIF",0.49,0.16,0.77,2.89,0.195,0.28,0,0.265,0.18,3190.535,0,0.235,12.64,0,0.18,0.265,0.77,3190.535
"136","SLC12A1",0.08,4.03,0.4,0.48,13270.54,1.11,0.25,0.875,0.22,0.665,0.06,0.29,1.01,0.06,0.25,0.48,1.01,13270.54
"137","HIST2H2AB",0,0.92,3.69,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,3.69
"138","MIOX",0,0.74,0,0,3532.255,2.43,0.71,3.38,0.83,2.735,282.07,0,2.1,0,0,0.83,2.735,3532.255
"139","SCN1A",0,0,1,0.39,0,0,90.77,0,0,0,0,0,0.475,0,0,0,0.39,90.77
"140","SHISA8",0,0,0,0,1.3,0,0,0,0.99,0,0,0,0,0,0,0,0,1.3
"141","AFM",0,0,0,0,121.79,9025.81,0,0,0,1.44,0,0,0,0,0,0,0,9025.81
"142","LRRN4",0.31,1.77,1.27,0.27,74.845,2.68,351.14,1.24,0.79,1.725,0.93,1.64,0.66,0.27,0.79,1.27,1.77,351.14
"143","F7",3.79,12.83,115.97,2.97,9.095,4239.45,2.86,9.595,2.56,4.135,2.745,7.365,5.13,2.56,2.97,5.13,9.595,4239.45
"144","SLC4A1",0.28,0.69,0.13,0,1412.56,2.46,4.5,0.38,0,0.99,1.75,0.47,0.475,0,0.28,0.475,1.75,1412.56
"145","C4BPB",15.91,35.25,5.5,52.08,9.495,11745.96,72.52,1.28,7.75,140.53,1.62,7.37,16.39,1.28,7.37,15.91,52.08,11745.96
"146","CTD-3214H19.16",0,0,0,0,0,0,78.89,0,0,0,0,0,0,0,0,0,0,78.89
"147","SCGB3A2",0,0,0,0,0,0,22850.48,0,18.43,1.515,7.72,0,2.32,0,0,0,2.32,22850.48
"148","GKN1",10.39,1.39,1.71,1.87,0.29,0.68,0.68,2.02,0.51,33571.88,0,0.445,45.53,0,0.51,1.39,2.02,33571.88
"149","PSG1",0,0.66,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.66
"150","ITIH2",0.39,16.03,3.56,0.58,11.6,18178.19,12.27,1.065,0.35,0.935,1.02,3.515,1.385,0.35,0.935,1.385,11.6,18178.19
"151","UGT2B7",17.25,13.52,24.28,13.72,4811.185,15934.98,5.5,3.705,10.39,10.63,1.08,21.945,1.33,1.08,5.5,13.52,21.945,15934.98
"152","ORM2",0.74,6.52,80.57,2.32,0.595,209994.66,83.45,255.025,1.35,136.67,2.52,16.36,9.56,0.595,2.32,9.56,83.45,209994.66
"153","TTPA",1.89,22.43,0.61,25.91,11.09,1447.15,10.31,1.31,1.46,5.985,0,0.66,3.38,0,1.31,3.38,11.09,1447.15
