"","Hugo_Symbol","pcon_condensed","gc_condensed","pcon_unified","gc_unified"
"13204","KRTAP1-5",0.0511087402869454,0.805714498951532,0.078826764436297,0.830254530071212
"13205","KRTAP1-1",0,0.91812979307484,0,0.923076923076923
"13206","KRTAP2-3",0,0.924308811238676,0,0.923076923076923
"13207","KRT34",0.00565063995403369,0.834638562559,0,0.880102185637241
"13208","KRT31",0.000487866139819604,0.919776068588586,0.00291602411327632,0.855620140409149
"13209","KRT36",0.0171917956982108,0.685432442763411,0.0345546101753777,0.751626217158428
"13210","KRT13",0.000417438737378394,0.945913679734471,0.000884923875274518,0.909565085099946
"13211","KRT15",0.0786407351919464,0.887914929169315,0.1085164598499,0.794361954100891
"13212","KRT19",0.0413841171530054,0.619670548232198,0.0611914454003147,0.476064084293614
"13213","KRT9",0.0125366625387364,0.841578949472813,0.0942059191329721,0.711899188764549
"13214","KRT14",0.00380879849018554,0.928482820438652,0.0168697954536264,0.825570799482856
"13215","KRT16",0.00423422123877104,0.907621575120924,0.00552605722411431,0.836040869037082
"13216","KRT17",0.0981104616877349,0.857980572397097,0.107788334737099,0.740578170637815
"13217","EIF1",0.0268505048653788,0.189696040305229,0.0659938722269263,0.081453750916272
"13218","HAP1",0.0217231553127833,0.699091740423074,0.0527025121060632,0.525715966502038
"13219","JUP",0.0214077747245662,0.623848395950569,0.0432097477599141,0.459902580885656
"13220","FKBP10",0.0371357706353329,0.453467327784667,0.0719429357470227,0.397282880222901
"13221","NT5C3B",0.0449311873043603,0.272659112912033,0.0862073123707763,0.176355970707424
"13222","KLHL10",0.00817346762746495,0.868444152202664,0.0999944385740504,0.43806068799117
"13223","KLHL11",0.0179678350240189,0.431584809411235,0.0785350053618716,0.243769033802518
"13224","ACLY",0.0432884653447179,0.19383631350224,0.14094165354395,0.176640768521546
"13225","CNP",0.0231600972360484,0.594383367076834,0.0985957714086755,0.178539839009555
"13226","DNAJC7",0.0313841605808021,0.149698231243697,0.0711466187975933,0.0686300177364654
"13227","NKIRAS2",0.0352682848274127,0.18244295685567,0.0751702504032849,0.0987254926844678
"13228","ZNF385C",0.0242072924480602,0.659024201438401,0.122876557191393,0.301069707001191
"13229","DHX58",0.0486329645620136,0.240832268952508,0.099218850248629,0.159919731084134
"13230","KAT2A",0.046434803100449,0.273991784635158,0.0718140876553777,0.216185065323252
"13231","HSPB9",0.0145108786400529,0.690025592048361,0.0754349317203966,0.554211175119076
"13232","RAB5C",0.0294113275446541,0.200679031800162,0.0676977218546558,0.12915145151774
"13233","KCNH4",0.0164180535267456,0.640519268627452,0.105552501374382,0.427834397598004
"13234","GHDC",0.0442107539421481,0.237412920946564,0.112509139708913,0.190973173290733
"13235","STAT5B",0.0285666052212087,0.273086227910675,0.0725972702261528,0.203234198153683
"13236","STAT5A",0.0284876159728878,0.306216508336827,0.0579617356287835,0.247085825095954
"13237","STAT3",0.0332364920383332,0.200678944813955,0.0738728310202079,0.12740525172376
"13238","PTRF",0.0327036597775905,0.465707828390269,0.0880497369112262,0.322075193494203
"13239","ATP6V0A1",0.0293468258010038,0.290249781250422,0.0744971463071519,0.129602290366765
"13240","NAGLU",0.0372945336319903,0.228819379675059,0.0932316960230903,0.154991005984912
"13241","HSD17B1",0.0353806913001564,0.289234334316313,0.0929700209156403,0.260405977940256
"13242","COASY",0.0402075379161778,0.149369274289841,0.0837333791486228,0.118112747470025
"13243","MLX",0.0307846234733224,0.122669617685245,0.0652173659703088,0.128696006174885
"13244","PSMC3IP",0.0304060573811272,0.381023636931163,0.0967271301238293,0.19403968735636
"13245","FAM134C",0.0449022737691705,0.192206053370064,0.103450082043004,0.0857838858576443
"13246","TUBG1",0.0272417837230591,0.370780383896024,0.0861981567469883,0.145160739756157
"13247","TUBG2",0.0428483925192979,0.319871895603744,0.0829395403607131,0.231646734450346
"13248","PLEKHH3",0.0514473728289479,0.273349190850065,0.0994472451089281,0.246074151476539
"13249","CCR10",0.0256441879731252,0.448061286823326,0.0326615320758198,0.450241415642882
"13250","CNTNAP1",0.0210435255097031,0.535484190589076,0.056829458407811,0.411594459752683
"13251","EZH1",0.029845137551522,0.292537315366113,0.0662682080626012,0.22775837374046
"13252","RAMP2",0.0263869578711494,0.440231764835206,0.0351762123697103,0.38802530706966
"13253","VPS25",0.0389326628750264,0.157469111392434,0.0800344938888969,0.0994296704280284
"13254","WNK4",0.150766455254941,0.780514137474383,0.194673475636427,0.683785404736109
"13255","COA3",0.0427501342424701,0.193369002212819,0.0824750722074975,0.173143302460765
"13256","CNTD1",0.0327380556973029,0.514863390190902,0.114001545993301,0.280769825382039
"13257","BECN1",0.032249745075701,0.170284280287426,0.0796030970872257,0.113598175108182
"13258","PSME3",0.032147920796258,0.138861848228,0.0690387150233562,0.134892721605495
"13259","AOC2",0.0335314683385775,0.33485866682919,0.0455358371165222,0.274488431731519
"13260","AOC3",0.0222964262177216,0.613474056732603,0.0571987519938531,0.460419531883553
"13261","G6PC",8.28917666133193e-05,0.959841332343241,0,0.917907610905715
"13262","AARSD1",0.035735151478167,0.265308691964975,0.0875209163730783,0.131741886700883
"13263","PTGES3L",0.0268239902844053,0.654015585895522,0.0947596823583034,0.539295592353568
"13264","RUNDC1",0.0551200015640842,0.177779946791878,0.121886748835002,0.156876224312256
"13265","RPL27",0.0350269668311594,0.238863807778769,0.0723150387715581,0.145533156608167
"13266","IFI35",0.048637668526516,0.256921191197914,0.0940850047573567,0.13108047359927
"13267","VAT1",0.0239012330281544,0.331359425596155,0.0536756315895523,0.218219116604457
"13268","RND2",0.0164176869479847,0.740098527246204,0.0956897994926146,0.432652956099571
"13269","BRCA1",0.0226064886535839,0.336261490603054,0.0542066629023151,0.195049098059132
"13270","NBR1",0.035770165135097,0.193769871125291,0.0909998721821952,0.0923807200368731
"13271","TMEM106A",0.032047186652068,0.306099856257966,0.0526593844306097,0.281133839593168
"13272","ARL4D",0.0179956856370346,0.436831213132932,0.0305336190314482,0.347087677294577
"13273","DHX8",0.0336566467882475,0.180198419421739,0.0732323708456676,0.100604361559863
"13274","ETV4",0.0614993658116409,0.541751391224804,0.0592743516734583,0.344095385612154
"13275","MEOX1",0.0121463797445236,0.586893496634977,0.0282122348549719,0.509536039721244
"13276","SOST",0.000450782083167369,0.953333165431827,0.00950504230902979,0.911556740465979
"13277","DUSP3",0.0364822820524422,0.26862053715571,0.0823698774426251,0.149012116203473
"13278","MPP3",0.0400335575714809,0.485371601982592,0.0884143981947267,0.317446849310004
"13279","CD300LG",0.00433986674406728,0.76936612919734,0.0143422041884516,0.734560398881655
"13280","MPP2",0.0464713135295036,0.570203501093322,0.143884661520571,0.357476173068294
"13281","FAM215A",0,0.881189234933085,0,0.866164662811499
"13282","PPY",0,0.958525748642832,0,0.923076923076923
"13283","PYY",0.00141287166253781,0.905980616509771,0.00419180269694819,0.869552533165912
"13284","NAGS",0.0271723510417501,0.556660088635756,0.0433460697878414,0.532972016015682
"13285","TMEM101",0.0387098844228141,0.185790797570162,0.103505308832643,0.217149728796642
"13286","LSM12",0.0333050257459961,0.138548214714802,0.0810846017596645,0.0673089274602878
"13287","G6PC3",0.0413058540113652,0.236294087492219,0.114802475955942,0.199560374766962
"13288","HDAC5",0.0309829244451576,0.259681307714159,0.0738466669571717,0.144990025276519
"13289","C17orf53",0.0206429868910549,0.556833524866387,0.0462695365857165,0.304774608272862
"13290","ASB16",0.0347827858233281,0.394953552388053,0.0797371633031818,0.296978715577923
