"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"151","PON1",1.25,6.78,11.82,3.96,7.14,27938.14,15.56,12.37,1.3,2.76,2.16,4.54,2.53,1.25,2.53,4.54,11.82,27938.14
"152","TM4SF5",0,0,0,94.01,297.18,4268.94,0,0,0,320.8,0,0,0,0,0,0,94.01,4268.94
"153","HP",23.25,95.34,802.41,20.71,17.32,1545882.32,1572.76,19.535,89.51,21.865,17.64,115.935,49.04,17.32,20.71,49.04,115.935,1545882.32
"154","TSHR",3.17,11.91,2.84,4.46,2.545,3.86,2.48,3.545,2.89,6.41,7130.55,6.725,3.41,2.48,2.89,3.545,6.41,7130.55
"155","KLKB1",7.11,8.51,19.68,17,25.505,3982.99,11.47,8.125,3.35,7.515,31.67,13.42,41.96,3.35,8.125,13.42,25.505,3982.99
"156","ADH7",5.92,1.3,3.17,0.15,0,3.72,4.66,0.62,223.41,99.08,0,0.115,6250.56,0,0.15,3.17,5.92,6250.56
"157","CCL18",88.88,157.68,0,121.79,3.805,46.18,6652.97,11.255,199.85,67.835,68.8,10.32,149.13,0,11.255,68.8,149.13,6652.97
"158","GSTA2",2.29,1.73,3.29,2.63,1053.41,7280.4,23.76,7.6,7.75,93.095,0,0,2.68,0,2.29,3.29,23.76,7280.4
"159","UGT2B4",0.39,6.16,0,0,0.715,11189.6,21.78,2.605,0,0,0,0,0,0,0,0,2.605,11189.6
"160","SERPINA6",0.56,9.48,476.71,11.82,802.59,11992.79,2.25,0.49,0,1.92,0,8.42,0.96,0,0.56,2.25,11.82,11992.79
"161","TFF2",3.03,3.44,16.51,24.11,0,24.81,0,1.9,2.53,21619.895,62.56,1.87,21.63,0,1.9,3.44,24.11,21619.895
"162","PGLYRP2",4.31,17.77,0.85,0,0.42,6207.38,0.47,4.045,1.27,1.455,0.71,0.87,0.64,0,0.64,0.87,4.045,6207.38
"163","NKX6-1",0.04,4.31,3.41,0.16,0.55,0,0.91,0.445,0.74,3.055,67.835,1.9,1111.82,0,0.445,0.91,3.41,1111.82
"164","NAPSA",10.08,21.16,21.78,24.63,1222.625,15,84109.6,23.175,8,19.97,38.535,29.375,23.25,8,19.97,23.175,29.375,84109.6
"165","AQP2",0.85,1.51,0,0,33695.52,0,1.11,11.865,1.83,0.815,0.9,0.345,0.56,0,0.345,0.85,1.51,33695.52
"166","CYP2C9",0.89,1.01,0.62,4.82,16.09,33688.23,3.86,0.2,7.51,193.01,0.25,0.21,181.28,0.2,0.62,3.86,16.09,33688.23
"167","MAB21L2",4.39,0.6,0.77,1605.83,0.645,19.53,1.19,3.245,3.26,10.59,59.34,0.455,12.83,0.455,0.77,3.26,12.83,1605.83
"168","TUSC5",6.36,1519.15,4.13,5.63,0.945,0.27,0.64,0.515,8.32,5.61,4.085,2.01,4.05,0.27,0.945,4.085,5.63,1519.15
"169","SLURP1",5.06,5.06,1.43,1.6,0.5,0.83,1.31,5.61,902.89,12.98,1.22,0.84,11584.24,0.5,1.22,1.6,5.61,11584.24
"170","REG3A",0.72,0.21,0.55,12.74,0.425,1.69,0.32,0.85,0.21,1217.48,0.8,0.67,10.92,0.21,0.425,0.72,1.69,1217.48
"171","ITIH3",20.86,28.24,82.87,19.68,34.775,36610.26,92.7,16.63,7.17,17.64,29.805,49.575,49.39,7.17,19.68,29.805,49.575,36610.26
"172","UGT1A7",21.32,1.58,0.65,1.33,3.16,3.69,0,0.295,63.89,5.28,0,0,1250.98,0,0.295,1.58,5.28,1250.98
"173","FXYD4",25.17,0,0,0,8080.505,0,58.71,8.155,5.82,53.76,0,0,0,0,0,0,25.17,8080.505
"174","IGFL1",13.93,6.06,0,0,1.445,0,0,0,116.78,0,0,0,1066.48,0,0,0,6.06,1066.48
"175","ASGR1",22.26,26.67,75.11,24.81,16.27,19482.97,101.54,23.505,20.71,28.755,193.695,43.02,33.78,16.27,23.505,28.755,75.11,19482.97
"176","S100A7",31.22,20.11,23.76,2.29,1.95,2.14,7.57,4.26,3847.29,9.41,1.275,2.96,1769.57,1.275,2.29,7.57,23.76,3847.29
"177","PLG",0.49,0.89,10.16,1.69,1153.435,97965.44,4.03,2.825,1.1,1.585,1.2,5.11,1.77,0.49,1.2,1.77,5.11,97965.44
"178","CYP2B6",0,0,0,18.56,115.52,6652.97,1.5,0,0,0,0,0,0,0,0,0,1.5,6652.97
"179","KRT4",103.69,9.93,18.03,5.82,1,5.06,497,110.82,8363.13,50.28,5.19,2.425,211455.3,1,5.19,18.03,110.82,211455.3
"180","CA9",16.27,3.35,16.63,18.16,7.25,42.11,4.5,6.465,7.94,2193.99,2.71,16.21,75.375,2.71,6.465,16.21,18.16,2193.99
"181","SPRR2E",5.19,3.38,1.85,2.07,0.46,1.64,3.44,1.19,2485.67,11.775,1.355,1.035,13586.57,0.46,1.355,2.07,5.19,13586.57
"182","KRT78",4.9,0.84,6.84,1.39,0.46,0.73,1.81,1.14,872.1,10.51,5.475,0.46,10084.54,0.46,0.84,1.81,6.84,10084.54
"183","HPX",13.12,98.73,33.54,28.04,5.475,132900.7,18.29,30.23,5.36,11.64,19.97,30.125,42.41,5.36,13.12,28.04,33.54,132900.7
"184","ANGPTL3",1.16,2.01,2.29,1.27,362.405,8479.89,0.55,1.9,0.6,12.315,1.555,1.495,4.84,0.55,1.27,1.9,4.84,8479.89
"185","KRT20",152.28,0.06,1.95,2591.27,0.12,0.02,0,0.46,1.64,597.445,0,0.265,6.01,0,0.06,0.46,6.01,2591.27
"186","MARCO",123.5,209.84,7.69,76.71,16.51,1457.23,7803.01,19.82,88.88,24.375,26.67,18.635,123.935,7.69,19.82,76.71,123.935,7803.01
"187","TGM3",1.69,3.08,10.31,9.34,1.075,3.79,7.69,12.98,1295.13,26.765,1.65,3.82,25179.16,1.075,3.08,7.69,12.98,25179.16
"188","TG",32.13,8.58,3.08,20.56,63.67,18.03,18.84,126.58,23.42,16.33,802981.305,23.845,52.82,3.08,18.03,23.42,52.82,802981.305
"189","LBP",0.53,45.21,3.79,1.57,25.265,18819.27,2.51,0.995,10.55,1.095,7.69,2.405,2.28,0.53,1.57,2.51,10.55,18819.27
"190","CCL16",4.62,9.78,8.19,3.76,2.245,2855.44,4.1,3.755,1.1,2.25,5.73,11.085,8.85,1.1,3.755,4.62,8.85,2855.44
"191","ACSM2B",1.66,5.41,3.26,1.85,2546.705,15075.35,1.99,0.77,0.38,1.93,7.31,3.455,4.19,0.38,1.85,3.26,5.41,15075.35
"192","TM4SF4",6.16,4.9,8.06,30.78,17.44,7695.57,15.56,1.23,1.23,261.3,7.515,8.655,31.675,1.23,6.16,8.655,30.78,7695.57
"193","KLK13",10.16,26.28,67.59,14.24,1.735,1.23,21.63,25.91,1617,52.65,8.65,15.335,17558.94,1.23,10.16,21.63,52.65,17558.94
"194","C19orf59",6.21,3.23,1.66,4.46,2.66,6.52,2367.9,3.455,3.2,5.06,4.205,2.305,5.585,1.66,3.2,4.205,5.585,2367.9
"195","GCGR",0.72,0.39,14.14,8.19,301.535,2875.3,0.82,0.975,2.78,2.695,1.73,0.71,4.35,0.39,0.82,2.695,8.19,2875.3
