"Hugo_Symbol","pcon","gini_coeff"
"GLI2",0.0682753952136344,0.405704676401129
"ZNF436",0.0789818785014554,0.269905359890024
"LRRC58",0.0880759905275592,0.124094713394322
"AC004381.6",0.183383503178102,0.268884378899827
"NOVA2",0.0331400290332529,0.388339717987483
"NCAPD3",0.311212239119082,0.338248225837344
"AK3",0.0663290399926224,0.129279730137374
"KPNA3",0.0596602819630925,0.136636420226629
"C1orf110",0.0167183729748363,0.781149736165248
"FAM203B",0,0.448129634455474
"CDKN2AIP",0.0725626134921361,0.114045184972808
"EID2B",0.079317454772131,0.303653902799009
"SLC51B",0.0303258715357874,0.608898674670792
"MED9",0.0870193397074866,0.147784784366943
"TBC1D5",0.0800131728579431,0.174741037240876
"HSPH1",0.0903153192030242,0.130430303244653
"ABHD12B",0.0274997861602942,0.302974674799155
"DRAM2",0.0698152429569404,0.151542195522459
"KATNAL2",0.0491180658139331,0.430558528466392
"IRGM",0.0528367258553486,0.356731185661459
"ZBTB24",0.078556118028002,0.122684010931377
"SREBF1",0.0902667062750592,0.230187510673376
"ZC3H14",0.0883054824255776,0.0723212118283909
"ERBB3",0.097805541497581,0.310237527795068
"ITGA6",0.0777695641151398,0.237257416733843
"OR2B6",0.245125348189415,0.777373044782516
"ACOT4",0.0453620539938048,0.440514395722607
"RIPK3",0.0247098393140741,0.339034004601923
"CEACAM3",0.0212293934946585,0.513842688251371
"DTNBP1",0.079002864560244,0.120801184501812
"PRPF38B",0.0741275458048282,0.129868945868946
"GALNT16",0.0740941623138508,0.386024399955376
"NOP2",0.0699527961880259,0.158072591143828
"ZNF414",0.104459586773202,0.172236144453039
"LRP12",0.0845268297578093,0.251462023571368
"WHAMM",0.0780839043318463,0.10195627532577
"ASCC2",0.0786229628150284,0.151162194153573
"RCL1",0.0314485202593933,0.452331654698988
"AZI2",0.0864933275001727,0.123544862158687
"TGM4",0.960236668994157,0.900362692689325
"RBM11",0.0778879324781458,0.310784826476289
"PPP1R3F",0.0896825571626796,0.227920747842339
"RP11-650K20.3",0.0447172957404881,0.349747165572541
"NHEJ1",0.0737900854822077,0.173900799362855
"NXT1",0.0701415574443036,0.140653207977264
"EFNA2",0.00557994679585613,0.801745521818191
"GFOD2",0.063498269048643,0.152231413469832
"COPG2",0.0722010847413929,0.200098155490488
"ZNF248",0.102512144918701,0.240730915262146
"SRCIN1",0.0727853408486033,0.291680946165681
"SPECC1L",0.101680376330494,0.174214914222738
"DCP2",0.0729601582176845,0.151684443618046
"RPUSD4",0.0696033792743916,0.104756987715319
"SFXN2",0.0884233437627534,0.35702058676824
"DDX49",0.095850315863966,0.0923422220455752
"CNPPD1",0.0859166439404045,0.161934437077245
"C8orf46",0.120439920262558,0.388150395684523
"HEXIM2",0.0820998381973992,0.166105966105966
"BEX5",0.0653910686628807,0.475497647035464
"LRRC14",0.103681708097104,0.165899415654358
"PSG9",0,0.864533696392104
"KLF13",0.0346814450688449,0.227584274485204
"CLDN19",0.00406351626328635,0.89344110738739
"HIF1A",0.063155580352795,0.23180364182395
"BIN3",0.073474133379735,0.0896655353726241
"SYT9",0.130826708770126,0.568309144086192
"VASH2",0.107487648361633,0.321238702237055
"GPX4",0.0822125756760832,0.168610098960556
"WDR49",0.0529462385071788,0.505025659606936
"CARS2",0.0901294623428495,0.0611461229659174
"TRAPPC8",0.073049580505761,0.0537742949552289
"MN1",0.0506852134267004,0.418261695877354
"GPR171",0.0407102684870526,0.402727521489818
"MBD1",0.0773087493540761,0.105534666724355
"COL8A2",0.0725949970490761,0.406977799972761
"KCTD17",0.0733837768119015,0.306399961129369
"TTF1",0.0921858447975543,0.170549981815845
"THBS1",0.0367545341755751,0.297368039392637
"CTD-2616J11.4",0.05,0.609760827407886
"TST",0.0333338453008295,0.488014325008072
"ZBTB5",0.0698820419353223,0.179534918156658
"ICT1",0.0768776657614374,0.0723416766641254
"RAD51",0.046253847665204,0.338175136148153
"ZNF281",0.0550624599126478,0.195664339936048
"AC091801.1",0,0.84604626934967
"GDF3",0.0199454323078371,0.595931305499468
"SRP72",0.077917822102906,0.100288010064105
"RPL23",0.0775661354122732,0.184778511877266
"TNP1",0.0301628106255356,0.535178959857623
"BAK1",0.0504814126259594,0.244756294422091
"CACNA1G",0.0442213495481801,0.832506674981973
"TNFRSF10B",0.0650332847228349,0.1616148988906
"TRPM3",0.0320826952526799,0.752780068323713
"TTC33",0.0818849361944821,0.116750662184468
"RPAIN",0.0811160190630616,0.100721556892085
"RC3H2",0.0677060926149812,0.112858669653998
"TCTEX1D1",0.0267719213707677,0.418898750309343
"KDM8",0.0348619487225972,0.637639992216632
"ULK1",0.0748173068213178,0.190266010861204
"EWSR1",0.0795451080543926,0.0699825075517477
"AC068533.7",0.0403458667971031,0.313845959648065
"CDKN1A",0.0458541703920548,0.277596065557352
"UBAP2L",0.0771515147397528,0.0963753592368897
"NAP1L5",0.082610820899207,0.255789531254392
"RASD2",0.176132457041373,0.611336336673923
"BCL7C",0.0760448677349767,0.192782496893076
"RP11-12J10.3",0.071534413162332,0.337155052805761
"ABHD5",0.0445279896022664,0.268863010848938
"CCDC36",0.0323358042768677,0.421979899238067
"C6orf226",0.103509603503527,0.126913712287866
"AC027307.3",0.0911977469766414,0.239069396007935
"ISL1",0.28521078156202,0.670396716574489
"ATP6V1C1",0.0707460868805365,0.182500002100552
"LMF1",0.100876179839829,0.117387023001846
"SNTN",0,0.920716230077736
"PXMP4",0.104266020133544,0.19258357943479
"ETV2",0.0905540273663422,0.210441149342969
"OR5K2",0.0524564711101253,0.296260908881514
"RETSAT",0.0652564717500575,0.247584201425896
"GEMIN6",0.0684799307430575,0.102074842584832
"VARS",0.0629177319297307,0.117741989097953
"LRRC59",0.0929075446699017,0.123548574530222
"GPX7",0.0741414584595135,0.30916776690239
"TIAF1",0.041092780131756,0.248580357213948
"EXO1",0.0324590163934426,0.407266918873476
"HMX2",0.0437448896156991,0.876407321215171
"POLK",0.0784972444024082,0.181179107547357
"C12orf56",0.0725097529258778,0.6859177753326
"IL33",0.0549034277158282,0.325269280668683
