"","Hugo_Symbol","PRAD_Median"
"800","S100A8",290.32
"801","DAGLA",72.265
"802","SMPD2",332.15
"803","TPBGL",5.655
"804","LRRCC1",173.25
"805","GLB1L",243.735
"806","VPREB3",20.715
"807","POU5F1B",18.84
"808","C1QTNF5",324.205
"809","NR2C1",369.935
"810","FKRP",341.715
"811","OR2A42",0.785
"812","C12orf43",276.24
"813","QSOX2",116.785
"814","TMEM198",87.34
"815","CNBD1",0
"816","MAN2B1",1487.87
"817","NSUN3",159.365
"818","USP45",136.665
"819","AICDA",0
"820","CXCR3",15.17
"821","CIRH1A",497
"822","TF",255.025
"823","FKSG63",4.555
"824","TTLL1",226.55
"825","CPA4",3.12
"826","CRNKL1",514.56
"827","GJB6",3.15
"828","DEFB103B",0
"829","KLF17",1.09
"830","PPP2R4",4181.07
"831","PDE4D",446.27
"832","DDA1",1066.48
"833","PSMB4",7180.325
"834","ZNF197",204.07
"835","CCDC174",330.99
"836","MT-ATP6",409926.335
"837","DUSP26",61.2
"838","PLEKHA6",443.205
"839","NPIPA1",1062.795
"840","RUVBL2",1417.35
"841","CCND3",1212.6
"842","KRT14",1494.12
"843","LRRFIP2",1295.415
"844","AGFG2",629.36
"845","RP11-178C3.1",0
"846","AC006449.1",624.99
"847","SCN2A",3.855
"848","AVL9",318.6
"849","USP9X",431.62
"850","NABP1",105.535
"851","ACP6",485.09
"852","EHD3",149.14
"853","RP11-343C2.12",158.235
"854","BAG3",1100.315
"855","PTCHD1",23.76
"856","ATP5H",7081.29
"857","TSPAN33",341.515
"858","AASDH",161.59
"859","AC007956.1",0
"860","RNF122",150.695
"861","CLDN10",41.67
"862","PTP4A3",872.285
"863","TRIM26",866.07
"864","MYO1D",681.655
"865","XPNPEP2",5.775
"866","FAM208B",339.175
"867","PTPN22",12.98
"868","HAVCR2",50.475
"869","OAZ3",544.005
"870","ADCY10",4.19
"871","GPR128",0.25
"872","BTN3A1",462.045
"873","ZNF684",51.53
"874","CDKL5",45.535
"875","SYT3",15.45
"876","AREL1",283.05
"877","NHP2L1",3614.55
"878","MPZ",132.9
"879","CD58",220.34
"880","ENPP4",307.72
"881","MOGAT1",0
"882","CCDC74A",327.56
"883","PNO1",316.37
"884","SDHB",1769.57
"885","TGFBRAP1",246.28
"886","TMEM121",75.11
"887","KCNQ3",9.425
"888","TMEM189",622.83
"889","SSTR5",19.36
"890","MARVELD1",909.17
"891","CCDC69",616.43
"892","FOXD2",14.035
"893","HTR7",6.865
"894","IFI16",922.435
"895","NOP9",301.33
"896","PER3",331.01
"897","DAPP1",48.7
"898","CACNA1C",134.775
"899","CTF1",301.345
"900","ARHGEF15",124.805
"901","CLEC3B",816.855
"902","H2AFB2",1.8
"903","JAK1",951.13
"904","MRPS17",345.14
"905","UTS2B",4.74
"906","NUDT3",228.13
"907","FAM219A",205.505
"908","KDM3A",449.38
"909","ACIN1",1628.295
"910","CDR1",2.695
"911","TALDO1",4404.25
"912","GUCY1B3",239.52
"913","EDNRA",581.055
"914","CRYBA4",1.25
"915","RBM6",1055.5
"916","GYPA",0
"917","C9orf91",519.955
"918","BCAT2",1322.37
"919","ASB1",435.56
"920","NCL",6185.935
"921","IAH1",1281.735
"922","FAM122C",69.035
"923","AC016586.1",1.105
"924","REXO2",1877.035
"925","RPS23",59681.02
"926","AC026703.1",115.97
"927","USP35",79.17
"928","ACP1",1943.265
"929","CFL2",1891.005
"930","C21orf33",2295.16
"931","PAQR3",252.355
"932","CD14",491.92
"933","USP1",388.39
"934","C1orf145",23.85
"935","DHRS4",1299.64
"936","FGR",87.345
"937","COX6C",8568.99
"938","RAB5B",2054.415
"939","FUOM",296.14
"940","ATRIP",166.735
"941","HSPB11",640.37
"942","PYDC1",1.795
"943","AOAH",79.015
"944","TMEM150A",463.65
"945","EIF1",19892.37
"946","EBPL",1378.6
"947","CHURC1",1081.415
"948","CRISP3",94.64
"949","PKP1",1096.525
"950","MEGF8",314.2
"951","GATSL1",5.42
"952","PDE4C",22.275
"953","APOC2",35.25
"954","RIBC2",34.53
"955","NCOR1",1167.14
"956","TRIM5",371.23
"957","OLAH",2.275
"958","OTUD6B",118.015
"959","HIP1R",538.35
"960","DEFB126",1.005
"961","XPO6",1281.735
