"Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus"
"PHLPP2",60.82,94.67,49.56,205.5,75.195,36.27,63.45,57.085,24.28,58.71,156.59,70.755,134.77
"DCHS1",249.73,191.67,191.67,202.66,87.655,25.54,173.85,143.01,27.44,120.52,69.765,497.19,409.15
"CD300C",19.11,26.67,13.12,25.72,11.35,21.32,279.14,13.52,16.03,17,26.86,12.225,14.835
"C14orf142",260.38,267.73,392.44,406.31,480.045,237.86,387.02,334.46,242.88,289.02,297.17,289.02,206.22
"ZNF286B",20.11,33.78,37.85,19.97,30.785,5.5,19.82,32.94,14.45,26.86,34.75,56.88,35
"KLK11",19.39,251.48,305.55,24.46,4.31,15.11,1030.12,3028.95,5872.48,2011.825,4.39,84.37,11664.82
"NCK1",518.15,796.86,759.08,620.67,395.215,371.22,651.58,555.41,813.63,429.55,595.34,525.595,921.88
"UNC5A",3.2,16.27,26.28,2.25,1.425,1.16,5.92,6.465,3.92,10.35,8.615,9.595,4.06
"NELFE",1733.13,1540.37,2367.9,1697.45,1697.485,693.58,1733.13,1794.335,1819.35,1622.63,1956.785,2367.9,1639.59
"PIWIL2",4.1,18.43,15.91,30.34,4.82,10.08,3.69,10.67,12,24.46,13.12,15.975,16.33
"EIF3F",6983.79,5831.91,8078.22,5791.62,3942,3039.3,4575.41,4836.35,5366.37,6652.97,4450.27,7912.71,5633.355
"CCDC37",0.78,0.95,25.17,1.33,2.21,0.95,41.81,2.57,1.93,1.045,1.23,10.55,2.67
"IGLON5",4.24,3.29,1.46,6.36,0.92,22.26,1.45,1.725,7.63,4.48,1.505,1.04,77.79
"CACTIN",305.55,295.11,429.54,361.04,228.93,237.86,287.01,357.295,299.25,342.7,381.68,476.725,490.14
"STIM1",928.3,1023,759.08,947.83,600.415,660.68,854.13,851.175,1388.16,863.075,1242.34,872.12,1697.45
"ARL6IP6",320.8,435.55,389.72,301.33,215.02,100.83,414.87,289.025,301.33,261.29,282.07,376.41,387.02
"HSFX2",6.36,23.76,43.63,16.03,18.565,2.25,12.64,37.25,10.39,13.57,25.355,39.785,33.42
"CD160",15.45,16.39,12,25.35,6.44,36.79,28.86,10.67,5.45,23.845,10.47,15.28,22.265
"FCRL1",2.43,2.01,2.34,7.69,1.82,3.03,31.67,2.51,1.77,7.37,3.89,0.585,11.73
"UPK3B",303.44,12.36,50.63,17.25,9.955,12.93,3018.3,28.655,173.85,60.395,22.835,20.215,872.1
"HIST1H2BO",0,0,0,0,0,3.99,2.23,4.8,0,0,3.275,0,6.01
"FAM26F",136.19,187.71,173.85,154.42,76.2,214.27,279.14,154.96,154.42,102.64,63.67,126.565,65.72
"ARF4",4095,3955.48,4704.07,3901.01,3506.065,2935.74,4239.45,4704.07,3665.02,3874.05,4066.71,3874.05,3124.78
"SF3B3",2384.37,2502.97,3540.14,1721.16,1794.46,1369.04,1806.78,2004.85,2303.12,1813.065,2193.99,3007.875,3303
"RASGRP4",32.59,36.01,17.77,40.07,13.78,27.44,170.25,15.28,14.67,43.94,11.865,20.485,53.76
"DUOXA1",435.55,58.71,64.8,15.22,8.96,2.48,1685.71,368.685,909.17,299.275,2966.455,20.26,4671.57
"PUSL1",341.51,169.07,303.44,258.57,158.79,185.11,226.54,297.17,435.55,320.8,180.02,272.425,543.96
"EVI2A",143.01,165.57,105.89,153.34,67.595,55.89,555.41,77.795,91.41,112.38,65.95,64.355,60.82
"IRX2",2.92,842.36,0.91,4.13,429.91,0,769.69,129.24,195.72,308.76,47.675,3.38,217.27
"DDI2",215.77,351.14,133.36,147.06,142.01,277.2,171.45,288.015,299.25,172.65,156.59,180.02,409.15
"LPAR4",5.15,17.13,4.9,3.59,1.205,0,2.12,2.595,2.81,3.365,3.29,15.11,21.94
"KTN1",2682.69,2997.45,2209.26,2502.97,2706.61,1477.58,2193.99,2133.97,2224.63,1277.29,2627.46,2075.59,2384.37
"CREG1",2573.36,3103.19,2627.46,1639.59,2582.69,3768.09,2796.65,1864.065,2434.5,1943.265,2915.45,1956.885,2111.9
"MSMO1",571.05,514.56,444.72,540.19,1059.52,5831.91,2537.92,1250.98,1225.22,839.445,441.64,454.095,2701.35
"MGAM",3.23,5.59,1.71,7.88,162.72,3.38,19.39,4.39,1.66,23.425,2.375,1.9,2.945
"NTPCR",1015.93,1216.75,1909.85,1242.34,1447.15,941.27,1119.56,1350.18,1044.52,816.465,1326.97,1220.985,802.41
"CDK2",629.35,540.19,599.49,432.53,397.945,291.04,511,480.04,447.82,393.81,368.65,498.755,775.05
"OASL",105.15,52.08,23.42,96.01,41.535,244.57,381.68,17.705,71.5,197.09,33.18,18.36,62.56
