"Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus"
"ACAA1",1572.76,1467.37,1359.57,1923.14,3627.3,15285.81,1721.16,2739.08,1662.49,1769.57,1685.71,991.61,2090.03
"LYPD3",1437.15,447.82,93.35,27.05,63.055,11.73,39.22,319.685,5913.33,85.53,29.27,46.34,15392.14
"SETMAR",493.56,764.36,457.25,305.55,406.4,177.53,316.37,667.605,371.22,253.23,565.14,872.185,483.38
"KIR2DL1",0,0,0,0,0,0.91,6.06,0,0,0,0,0,0
"AKR1C2",9540.5,2739.08,395.18,307.69,297.285,3820.7,397.93,119.265,1487.87,1529.73,310.915,84.925,3768.09
"NFAT5",220.32,258.57,150.17,111.99,237.945,42.41,162.14,161.02,119.26,169.07,273.37,132.44,252.355
"COBL",49.21,463.65,1477.58,435.55,452.515,432.53,595.34,536.45,480.04,502.205,300.29,38.535,1407.55
"PELP1",665.29,651.58,915.51,559.28,544.005,366.09,563.18,764.36,633.73,575.03,753.83,971.13,753.83
"TIMM8A",114.36,120.94,113.56,107.38,131.51,208.38,75.11,107.76,148.09,90.455,96.345,115.565,137.14
"CREBZF",490.14,665.29,514.56,583.07,437.07,307.69,511,612.11,289.02,420.68,1026.56,761.76,1143.1
"MRPS10",599.49,656.11,591.22,567.1,700.88,599.49,518.15,565.14,866.07,635.94,549.655,561.23,1051.79
"NUDT15",289.02,361.04,356.05,316.37,387.06,218.79,301.33,397.945,389.72,238.69,299.25,289.02,371.22
"SNTB2",212.78,253.23,218.79,139.07,161.605,43.94,187.71,218.79,127,198.47,310.915,237.88,260.38
"MDC1",283.05,373.81,353.59,343.89,371.3,231.32,356.05,327.56,218.79,248.865,681.655,468.53,571.05
"AC124890.1",1.97,5.96,8.58,3.32,1.41,2.2,3.69,4.74,1.33,2.36,4.76,5.75,5.085
"RBMS1",1216.75,1111.82,902.89,536.45,777.745,277.2,1199.98,516.38,674.59,493.57,614.24,1070.195,1175.27
"CETP",14.35,40.36,11.21,8.85,73.54,314.17,67.12,8.68,6.57,7.54,84.93,22.675,4.94
"CHD4",3303,2384.37,3467.27,2075.59,2767.73,1508.65,2255.7,2141.395,2417.67,1832.01,2915.45,3060.745,2511.675
"SENP3",1104.13,1216.75,1073.91,1001.93,984.75,540.19,1037.29,1100.315,1037.29,725.595,1111.82,1238.045,1127.35
"DDN",1.55,1.22,0.24,1.36,111.21,0.39,1.16,1.385,10.96,3.23,1.12,0.87,6.01
"MAGEA10",0,0,0,0,0,0,0,0.04,0,0,0,0,0
"SPA17",141.02,214.27,248,202.66,413.495,43.32,297.17,202.66,185.11,193.01,420.68,287.01,140.04
"CTSO",497,902.89,872.1,447.82,988.215,1059.11,981.29,756.455,273.37,414.885,688.78,851.22,571.065
"AP1S1",941.27,836.53,1208.34,1135.2,1684.335,954.43,878.17,1277.29,1104.13,934.76,830.75,863.075,1030.12
"RPS20",65990.84,68793.23,95949.32,41475.31,29961.415,32994.92,51775.15,55877.28,49666,56658.67,41763.8,80963.88,43387.01
"KCNH3",6.11,23.76,5.23,4.7,34.29,4.35,15.91,16.09,5.5,7.6,27.05,19.465,12.88
"PDCD4",3928.15,7589.61,2133.97,5517.27,1529.73,1008.9,1832.01,4328.55,5594.3,3479.33,8162.705,4836.35,7382.04
"HOXC6",4.94,244.57,4.1,5.77,264.34,0.04,10.39,12.09,2.2,7.88,8.68,129.7,50.98
"PBXIP1",4038.61,2032.85,3467.27,2148.82,2673.545,825,2209.26,2494.32,1183.45,1909.895,3847.29,2997.45,3982.99
"PPCDC",291.04,293.07,384.34,334.46,379.12,208.38,368.65,440.115,329.84,293.07,373.81,359.805,403.5
"MRFAP1L1",1388.16,1498.22,2255.7,1051.79,1437.15,1044.52,1350.18,1745.2,1216.75,941.27,1477.58,2319.15,1119.585
"KYNU",189.02,157.68,129.69,33.06,147.86,947.83,312,21.315,120.94,59.55,42.26,27.64,98.04
"PLAU",567.1,624.99,181.28,211.31,1773.015,39.22,503.95,277.2,457.25,236.23,272.425,314.185,314.17
"GPR146",226.54,713.11,341.51,197.09,229.23,567.1,595.34,170.85,92.05,273.37,184.465,505.705,450.94
"ZNF208",64.34,87.65,15.11,41.52,62.175,3.03,19.68,47.17,8.38,19.535,161.02,127,85.82
"CLVS1",4.78,9.63,5.45,3.08,2.175,3.11,3.23,3.5,11.3,7.545,9.06,2.445,8.19
"DCTN6",1008.9,1135.2,1023,860.08,1037.29,563.18,1037.29,884.305,825,941.295,1159.07,1033.705,1104.13
"MAPK9",403.5,579.04,403.5,486.75,521.76,209.84,579.04,498.73,336.79,486.75,511,377.905,561.23
"OR7C1",0,5.87,0,0,0,0,0,12.41,0.99,0,0,0,0
"SPATA6",143.01,246.28,141.02,100.83,203.365,34.26,156.59,137.145,66.65,132.44,223.41,121.365,170.25
"TAB2",902.89,1191.69,1135.2,1030.12,833.68,587.13,884.29,957.75,808,921.905,777.745,794.105,1111.82
"GPR88",1.11,12.18,0.83,6.31,2.195,63.89,1.3,2.595,1.35,3.155,1.75,1.41,23.59
"NUDT13",50.98,64.34,31.9,62.56,70.26,92.7,49.91,47.84,32.59,61.035,54.91,44.89,73.54
"TBC1D2",371.22,214.27,209.84,237.86,137.66,205.5,1225.22,290.04,775.05,228.925,242.035,140.055,884.29
"UGGT1",249.73,297.17,195.72,237.86,301.33,242.88,287.01,318.585,273.37,316.37,275.28,178.77,262.2
"OXSR1",642.59,525.39,497,473.41,553.485,246.28,426.57,463.65,525.39,341.51,426.57,347.5,743.43
"PMF1-BGLAP",148.09,105.89,329.84,134.3,154.98,120.94,129.69,252.355,128.79,138.585,221.09,233.755,173.26
"PKP4",684.02,1304.15,1359.57,483.38,1970.5,381.68,595.34,772.37,819.3,567.1,1286.18,954.45,1340.84
"CTAGE15",0,0,0,0,0,0,0,0,0,0,0,0,0
"MORC4",201.25,358.54,187.71,149.12,212.045,189.02,248,310.915,279.14,168.485,249.73,269.605,312
"DPP9",599.49,457.25,547.75,733.19,358.85,819.3,743.43,475.06,555.41,767.025,466.88,437.085,780.44
"UVRAG",269.6,490.14,271.48,251.48,233.755,142.01,343.89,238.7,148.09,204.08,297.17,280.115,348.71
"HDAC8",277.2,320.8,327.56,242.88,358.545,253.23,305.55,343.9,255,240.355,361.04,326.435,268.665
"MPV17L2",226.54,229.72,244.57,336.79,406.325,293.07,269.6,371.22,260.38,392.44,309.83,269.6,413.435
"DPY19L2",66.18,82.87,246.28,53.57,176.345,3.86,25.17,137.62,9.41,31.785,468.51,183.315,246.285
"C15orf61",127.89,185.11,206.94,173.85,157.78,129.69,151.22,181.915,157.68,182.55,204.785,187.055,192.34
"CYSTM1",1923.14,1369.04,1583.71,2609.3,8136.175,1143.1,3103.19,1062.795,995,18115.4,2263.55,1467.51,2609.3
"METTL7A",2104.58,3060.45,1685.71,2796.65,4052.855,11189.6,2875.3,2075.79,1216.75,2434.5,6699.25,1668.275,2645.995
"THUMPD2",218.79,265.87,264.03,164.42,146.555,89.51,170.25,220.32,166.73,147.06,269.6,284.04,273.37
"DERL3",40.64,299.25,231.32,246.28,45.695,143.01,285.03,103.7,271.48,998.51,341.54,91.095,144.01
"SHBG",9.56,12.45,19.39,6.31,59.5,2018.8,10.24,15.28,5.59,16.09,28.65,18.095,10.2
"DCPS",435.55,329.84,438.59,309.83,463.695,1059.11,329.84,317.47,356.05,328.7,287.01,346.29,283.05
"RAC3",75.11,295.11,135.24,96.01,256.04,244.57,110.43,463.65,234.57,201.985,263.115,63.225,267.73
"REG1A",0.42,1.28,14.45,96.68,77.7,8.92,3.53,3.72,1.33,8658.09,3.84,11.23,289.02
"SUCLG2",1143.1,1304.15,1088.92,2178.83,2134.02,3716.2,947.83,1229.485,1008.9,1745.235,878.17,899.765,1092.71
"ASPRV1",32.13,44.57,71,24.63,34.175,18.7,34.02,28.24,31.22,21.945,28.24,73.8,49.21
"AQP3",12415.75,547.75,224.97,217.27,7563.395,3349.13,5633.22,3235.09,19754.96,1467.37,62.12,168.485,26986.43
"DNTTIP2",1167.14,1073.91,995,738.29,710.68,629.35,967.76,878.17,1127.35,605.77,890.44,1092.71,921.88
"CKAP2",127.89,154.42,99.43,141.02,115.565,39.5,120.1,127.89,241.19,124.805,105.15,103.36,287.01
"SLC9B1",10.47,18.97,11.73,8.32,19.345,5.54,14.56,17.13,6.78,10.12,20.11,18.63,13.075
"CLEC2L",4.06,6.84,5.19,5.82,1.185,0,1.31,0.195,3.44,3,3.29,17.705,3.17
"INTS12",334.46,497,406.31,363.56,404.905,297.17,414.87,466.895,358.54,395.18,523.575,414.87,435.55
"ALDH3B1",305.55,125.24,551.56,275.28,303.47,87.03,2163.77,100.83,239.52,371.23,69.765,146.04,351.14
"BIVM-ERCC5",15.68,145.02,3.03,70.51,118.225,20.71,60.39,48.19,50.27,83.745,75.11,8.22,74.06
"MCM2",187.71,180.02,165.57,175.07,137.355,35,133.36,204.07,269.6,139.555,176.29,187.71,264.03
"SPDYC",0,0,0,0,2.645,54.33,0.88,0,0,0,0,0,0
"AEN",258.57,232.94,182.55,199.85,168.565,202.66,244.57,251.48,285.03,256.785,295.11,221.865,249.73
"SLC30A4",60.39,94.67,74.06,126.12,92.71,35,58.71,896.665,67.59,90.14,101.54,85.82,110.43
"COPS4",941.27,974.5,1030.12,753.83,998.465,403.5,769.69,899.765,860.08,700.845,866.07,941.27,759.08
"ZNF813",36.79,65.72,18.97,33.06,38.82,10.79,36.27,105.15,25.91,30.45,41.37,33.18,30.78
"USO1",1437.15,1447.15,1757.34,1073.91,1259.965,1073.91,1151.06,1354.875,1844.76,1331.57,1350.18,1001.95,1685.71
"C14orf144",1.2,2.18,0,6.21,5.535,0,3.99,1.3,0,1.28,0.49,1.84,1.48
"SMIM1",73.03,74.06,224.97,47.5,244.67,287.01,151.22,261.29,52.82,126.12,317.47,124.445,94.34
"TEX37",0,0,1.2,0,0,0,0,0,0,0,0,0,0
"ITM2C",3325.99,1216.75,6699.25,13776.25,5662.6,842.36,1216.75,4166.625,708.18,2319.15,1883.59,3969.43,2673.42
"CRLF1",198.47,206.94,175.07,108.14,99.465,21.47,293.07,67.36,241.19,91.185,490.14,67.6,429.58
"CDK16",1135.2,1322.37,1191.69,1397.83,1589.22,486.75,1233.75,1191.69,1594.73,1578.235,1685.71,1286.21,1977.24
"FOXN1",14.67,4.98,1.36,2.03,2.67,0,2.94,20.635,86.43,3.725,6.36,0.455,316.37
"AC116407.2",1.57,1.68,1.93,2.36,2.05,2.41,5.15,2.46,3.96,7.14,5.73,1.42,14.56
"ADCY9",194.36,211.31,195.72,262.2,275.45,197.09,457.25,127.905,178.77,190.34,575.03,192.34,336.79
"MUM1L1",6.26,26.86,182.55,2.86,15.355,25.17,11.47,39.36,5.11,7.34,307.69,223.41,5.125
"SLC25A5",8191,5255.91,4038.61,14065.74,14116.695,6983.79,7857.29,4769.75,10084.54,13824.165,3914.58,4095.1,11267.44
"LEMD3",234.57,316.37,232.94,264.03,257.675,116.78,264.03,241.19,209.84,256.78,293.07,292.065,271.48
"TOX2",343.89,82.87,323.03,131.51,48.2,90.14,555.41,151.755,43.63,185.755,127,108.16,725.595
"HTR4",0.74,1.58,0.39,57.89,0.805,0.91,1.22,0.33,0.68,4.505,1.1,0.865,2.1
"GBP5",108.9,48.18,135.24,49.21,17.155,67.59,229.72,27.15,57.89,52.635,43.475,30.565,55.49
"ZNF675",66.18,144.01,80.57,95.34,91.41,27.05,100.83,96.345,97.36,102.97,115.97,75.43,191.67
"SMCO3",2.71,7.34,31.67,2.86,48.695,16.75,28.24,25.91,1.69,1.84,18.43,7.225,3.47
"SDHAF2",1127.35,947.83,1286.18,981.29,1085.465,995,1037.29,1151.06,872.1,954.43,1159.07,1096.5,866.07
"SMPD1",728.11,679.29,769.69,1001.93,1378.6,1733.13,1059.11,1250.98,665.29,753.83,1259.69,635.94,769.69
"RGPD3",2.14,3.47,1.81,2.12,5.17,2.25,2.92,3.41,1.68,1.68,4.13,2.06,4.86
"SSPN",253.23,660.68,466.88,221.86,127.895,8.32,123.5,261.365,106.63,130.145,214.27,280.115,312
"AP000350.10",0,0,0,0,0,0,0,0,0,0,0,0,0
"CCSER2",426.57,651.58,423.61,371.22,392.44,166.73,480.04,452.515,521.76,502.205,579.04,369.935,512.78
"AGL",275.28,281.09,111.99,211.31,313.13,450.94,140.04,279.145,285.03,157.145,194.36,138.59,649.325
"GPR1",26.86,16.39,24.46,9.06,19.63,0,7.63,3.925,36.79,8.45,8.095,17.38,88.88
"CCDC42",1.46,1.01,2.86,0,1.505,3.5,4.46,0.97,0,0,1.56,1.535,0
"ANXA4",2133.97,1923.14,4239.45,3039.3,5114.125,2855.44,3665.02,1977.24,1794.29,2591.27,1950,2477.44,1397.83
"PRG4",5.73,103.69,2.76,5.87,1.635,2367.9,275.28,2.13,22.26,6.7,7.34,4.7,37.06
"KCNJ8",343.89,384.34,221.86,142.01,224.045,819.3,460.44,286.155,29.91,112.775,212.78,399.32,505.705
"FAM189B",529.06,361.04,327.56,476.71,321.915,141.02,343.89,440.115,441.64,571.065,297.17,500.475,759.08
"FBXW11",476.71,647.07,503.95,387.02,669.94,297.17,540.19,518.15,532.74,514.56,462.045,532.755,723.08
"SHPK",121.79,197.09,202.66,164.42,273.37,327.56,143.01,163.28,177.53,242.88,144.01,113.165,242.88
"SLC1A6",0,0.93,0,0.41,1.305,0,0,5.295,0.58,0,0,1.22,0.87
"STEAP1B",7.51,17.38,24.63,10.47,3.485,0,12.83,11.775,16.63,7.54,4.19,6.59,20.635
"SPDL1",106.63,131.51,115.97,102.25,99.155,29.7,88.88,78.34,134.3,110.82,99.78,141.025,191.67
"MADCAM1",4.7,4.43,7.57,105.89,4.62,8.92,6.41,7.4,3.69,75.375,15.34,10.12,26.86
"TPR",769.69,909.17,830.75,620.67,561.23,358.54,708.18,684.035,660.68,601.58,854.13,915.525,775.05
"LAMTOR5",3639.7,3190.46,4419.52,3303,8599.105,2758.13,3928.15,3887.72,3419.52,3690.52,3491.39,3235.09,3146.52
"WBP2NL",7,28.04,19.53,15.34,21.335,6.46,16.63,22.51,6.26,15.795,45.69,21.705,15.34
"MS4A4E",13.03,11.91,7.51,20.71,3.245,11.47,13.83,5.965,3.82,12.225,6.285,8.445,50.805
"SCO2",536.45,493.56,1127.35,954.43,610.02,1044.52,878.17,478.375,1023,557.345,449.38,514.56,902.89
"GLOD5",3.06,15.22,0,35.76,152.08,209.84,70.01,18.77,5.23,53.76,52.82,0,7.88
"ZNF841",84.63,153.34,99.43,86.43,56.485,40.64,103.69,135.715,52.45,107.76,133.83,109.28,194.36
"BLMH",612.11,525.39,642.59,473.41,609.99,265.87,507.46,444.73,571.05,389.72,463.65,735.77,759.08
"TTC6",20.86,120.94,2.03,3.29,0,59.55,25.35,179.42,12.18,45.37,0,0,38.4
"RNF146",616.37,866.07,1008.9,651.58,607.89,389.72,842.36,649.325,432.53,438.59,1104.13,1175.27,1081.39
"DSCAML1",13.12,10.24,3.76,22.43,42.58,3.96,14.67,5.365,3.11,11.215,17.77,44.57,23.505
"CTD-2006C1.10",0,0,0,0,5.085,0,0,0,0,0,0,0,0
"RAC2",660.68,409.15,555.41,612.11,148.045,307.69,2075.59,287.045,438.59,614.24,227.335,325.415,332.14
"BRE",1143.1,866.07,1119.56,698.41,1692.395,460.44,808,775.05,743.43,833.64,679.29,1015.95,887.365
"ESYT3",21.94,33.78,15.22,33.3,36.315,2.27,361.04,10.24,12.74,31.9,254.115,51.71,29.91
"NOTUM",22.43,1.95,18.29,1.36,6.11,171.45,71,4.24,6.78,12.135,0.66,14.05,11.38
"OTUD7B",223.41,339.14,195.72,190.34,186.41,115.16,209.84,174.46,156.59,170.25,195.04,231.32,251.48
"PCDHGA10",26.28,67.59,82.87,46.18,41.29,43.94,58.71,77.545,55.49,50.27,63.89,61.485,90.14
"ZNF688",343.89,285.03,642.59,514.56,383.01,366.09,400.71,473.41,289.02,561.23,400.71,488.445,463.65
"PCDHGB2",37.85,60.39,76.71,29.91,40.94,15.34,50.63,40.355,22.26,21.705,29.805,89.195,48.185
"FIBP",1259.69,1143.1,1304.15,1242.34,1529.73,769.69,1378.57,1392.995,1295.13,1493.045,1498.22,1561.925,1100.315
"TMEM217",37.05,31.22,17.64,13.03,34.915,18.16,38.95,17.665,65.26,20.41,40.785,22.26,75.64
"MCTP1",119.26,283.05,55.89,82.29,68.43,24.81,234.57,53.76,66.65,96.01,64.57,74.335,139.07
"ACTR3B",110.43,214.27,156.59,110.43,183.185,122.64,113.56,152.81,119.26,114.76,139.07,187.065,138.585
"TDRD3",305.55,379.04,346.29,260.38,316.4,150.17,299.25,256.78,289.02,245.425,303.44,357.295,283.05
"SPTA1",0.51,6.67,2.36,1.16,1.03,1.75,2.97,0.27,1,0,1.44,2.24,2.24
"NPTXR",167.9,154.42,262.2,117.6,49.385,9.56,58.71,295.11,47.5,85.22,91.41,312.12,267.73
"METTL9",1651,2047,2915.45,1277.29,3268.85,299.25,1427.22,1870.57,1832.01,1540.37,1806.78,1800.535,1883.54
"BX842679.1",0,0,0,0,0,0,0,0,0,0,0,2.34,0
"ITGAV",620.67,775.05,616.37,420.68,1575.18,169.07,547.75,549.655,518.15,505.705,845.29,698.43,764.36
"PTPN9",371.22,460.44,555.41,480.04,470.145,220.32,444.72,500.46,275.28,347.5,769.69,449.405,500.46
"GPT2",137.14,480.04,202.66,187.71,468.53,2193.99,60.82,878.17,1313.23,967.785,148.605,157.7,2537.92
"TBXAS1",191.67,279.14,127.89,244.57,184.465,172.65,1001.93,302.385,241.19,247.14,71.76,106.295,281.09
"C1orf216",224.97,218.79,232.94,199.85,92.7,76.71,220.32,175.07,85.22,87.955,125.24,329.84,343.89
"TUBB4A",9.56,6.01,5.45,71,52.155,10.71,9.41,6.595,8.92,20.41,5.455,15.17,69.275
"CYP4A22",0.92,2.36,0.8,0.33,229.92,6652.97,2.53,0.605,0.35,1.175,0.66,0.35,2.315
"PCDH19",48.87,78.89,61.68,24.81,7.205,1.81,2.56,7.88,25.72,18.5,5.94,75.13,34.875
"ANKMY1",145.02,206.94,281.09,153.34,122.745,104.42,234.57,191.67,136.19,179.395,226.54,225.755,232.94
"SLC25A22",255,170.25,212.78,241.19,232.13,532.74,291.04,334.46,314.17,366.09,221.86,237.86,371.22
"CLN5",392.44,444.72,703.28,381.68,954.515,356.05,486.75,543.97,273.37,329.85,1622.63,518.195,444.72
"ZNF843",6.73,16.39,21.94,4.78,14.17,3.69,5.92,13.98,6.67,8.75,13.72,17,9.855
"ZNF681",16.27,47.17,25.35,24.28,20.485,2.76,18.97,30.23,23.25,26.095,27.25,23.845,56.68
"LEMD2",748.61,872.1,934.76,1096.5,743.43,587.13,884.29,938.015,825,825,1242.34,1143.13,1187.57
"FBXW4",1127.35,1437.15,1037.29,1167.14,1089.02,624.99,1340.84,1354.875,954.43,915.51,1281.735,1066.48,1668.275
"M6PR",1745.2,2193.99,1844.76,1721.16,2005.045,1268.46,2777.33,1903.25,1709.26,1477.58,2263.55,1896.695,1656.745
"TRIM38",346.29,332.14,260.38,251.48,419.42,157.68,358.54,305.55,287.01,258.57,246.28,316.37,379.04
"COL16A1",1295.13,1268.46,2434.5,660.68,183.895,60.82,514.56,1012.415,320.8,402.12,1437.15,1143.21,2018.85
"RAP2A",195.72,323.03,237.86,209.84,236.485,88.88,343.89,145.02,236.21,176.29,149.12,215.02,316.37
"SCGB2B2",4.5,15.8,4.06,3.76,6.085,4.82,9.48,6.16,3.76,5.34,15,4.585,8
"ASPA",86.43,114.36,128.79,56.68,406.355,113.56,70.01,72.025,26.28,75.64,35.25,80.57,93.35
"GRID2",3.56,0.52,5.41,0.78,1.32,0,0.89,0.405,0.45,1.79,0.51,0.915,0.645
"PCDHB15",57.89,44.25,69.03,41.81,48.18,12.09,55.1,36.4,19.97,35.885,62.78,141.11,111.21
"AC011897.1",44.25,22.1,23.25,43.32,20.04,4.06,17.9,37.995,32.59,26.96,12.93,33.42,97.36
"GDF7",17.9,0.73,85.22,3.32,44.25,48.87,2.97,25.175,3.41,9.305,1.305,19.32,20.04
"NAT1",66.18,255,155.5,163.28,182.565,291.04,165.57,172.07,112.77,136.665,66.65,117.19,108.14
"AC005481.5",1.5,2.51,5.63,1.41,0.62,0,0.62,2.385,0.46,0.985,2.35,4.08,0.96
"CAPRIN2",204.07,217.27,161.02,208.38,181.915,131.51,228.13,229.72,88.26,197.095,315.27,244.58,525.39
"EIF4G1",4095,3491.39,2976.74,3847.29,3168.49,5594.3,3901.01,4109.245,6516.03,3467.27,3794.3,3060.45,6983.79
"SCAF1",633.73,583.07,759.08,693.58,616.51,409.15,669.92,796.86,669.92,705.73,733.19,827.875,884.29
"S100B",397.93,1909.85,420.68,723.08,20.575,25.72,150.17,236.23,497,307.72,68.31,49.915,836.555
"IQGAP1",3690.52,3768.09,2351.53,2997.45,2360.06,341.51,4066.71,2148.87,3742.05,2335.28,2442.97,3755.25,3589.58
"HERC6",137.14,214.27,146.03,122.64,216.53,65.26,218.79,265.88,281.09,218.795,133.36,181.285,507.46
"MPRIP",3491.39,2451.44,2816.11,2090.03,2025.825,1044.52,2777.33,2351.59,2209.26,2875.3,2609.3,3847.29,3540.14
"CBX3",1870.53,2520.38,2627.46,1950,1950.05,1225.22,2047,1745.235,1896.65,1457.23,1838.385,2664.15,1674.06
"GRIN1",2.48,16.15,2.1,25.91,1.72,0.4,4.58,54.72,11.04,15.68,1.79,1.025,13.52
"NODAL",2.94,7.28,4.24,3.56,1.565,0.68,3.5,3.485,4.24,3.725,1.575,2.86,6.335
"FRMPD2",2.68,10.39,0,0,9.355,0,9.13,13.03,1.08,1.07,9.025,0,0.51
"ZRSR1",8.51,9.7,2.97,8.19,5.385,3.96,12,11.17,7.94,11.865,12.74,7.365,17
"FAM3C",1001.93,1044.52,1030.12,819.3,1407.69,713.11,921.88,816.465,961.07,1472.475,1751.27,1238.045,1030.12
"ERV3-1",131.51,426.57,67.12,100.83,133.83,38.4,224.97,189.68,251.48,196.415,202.66,130.6,486.75
"SLC35F4",2.48,0.22,4.5,0.62,1.68,0,0.06,27.25,0.06,0.555,21.01,8.895,1.06
"TRPA1",223.41,34.26,37.05,68.07,29.755,3.86,11.21,9.38,7.22,105.15,10.08,15.345,35.25
"HMCN2",182.55,96.68,223.41,872.1,69.275,27.25,98.04,138.59,27.64,168.485,157.7,301.595,1026.61
"EXTL2",182.55,275.28,275.28,167.9,264.95,107.38,195.72,276.24,72.01,130.145,253.23,399.86,325.295
"FGB",1.57,10.71,17.13,2.14,70.755,363097.14,7.28,1.59,0.69,11.91,1.29,3.755,18.84
"AHCYL1",1508.65,1832.01,1561.89,1286.18,2477.795,819.3,1331.57,1336.205,1151.06,1498.22,1633.925,1388.46,1639.59
"CLIC6",177.53,185.11,503.95,63.89,72.79,18.97,392.44,193.685,144.01,523.605,417.77,21.17,115.16
"CT45A3",0,0,0,0,0,0,0,0,0,0,0,0,0
"MRPS34",1769.57,1286.18,2032.85,2119.22,2025.825,2104.58,1561.89,2327.215,2351.53,2075.59,1583.71,1769.57,2032.85
"KIAA0232",348.71,409.15,273.37,285.03,413.64,155.5,271.48,314.17,265.87,279.14,283.05,301.52,400.71
"WISP1",22.92,17.51,93.35,26.86,129.415,15.22,42.11,35.885,10.96,17.705,11.38,152.28,129.69
"CTNNBIP1",470.14,785.88,551.56,429.54,536.465,301.33,1051.79,1030.12,2520.38,896.64,705.73,468.51,3794.3
"FMO3",11.82,92.05,12.55,11.82,108.18,13586.57,463.65,12.32,56.28,54.91,32.475,29.27,111.99
"TRIM54",1.89,3.2,0.45,6.78,20.34,1.2,2.86,6.595,20.86,7.14,10.16,5.75,5.235
"HMHA1",384.34,351.14,414.87,507.46,260.405,291.04,1044.52,255.965,297.17,291.045,343.89,282.085,334.46
"PIGT",2061.24,2287.2,2133.97,2451.44,1923.325,1143.1,2004.85,2047,1519.15,2468.555,2075.59,2311.24,1956.785
"SHROOM4",64.8,119.26,85.82,31.67,142.515,11.21,336.79,47.17,40.64,44.1,68.55,92.7,87.955
"MRPL21",1583.71,1259.69,1977.24,1923.14,1794.46,1477.58,1143.1,1896.65,1685.71,1561.89,1561.89,1977.285,1472.475
"PXK",356.05,414.87,1081.39,438.59,686.4,157.68,389.72,287.01,212.78,373.81,1397.83,441.655,521.76
"WBP2",2956.17,2997.45,2555.58,2682.69,3103.485,3103.19,3901.01,3665.02,2609.3,3455.29,3039.3,2564.47,3455.29
"F2RL1",260.38,118.43,49.56,214.27,1038.895,163.28,129.69,209.32,384.34,503.95,169.66,27.45,299.25
"SPATA5",48.87,54.72,38.12,27.44,42.305,15.8,34.26,34.875,33.06,38.125,41.52,32.245,31.45
"BIN2",143.01,115.16,99.43,153.34,56.09,90.14,493.56,55.11,70.01,102.97,65.26,56.295,71.5
"SMPD4",688.78,748.61,934.76,759.08,555.465,454.09,665.29,799.635,688.78,715.595,1143.1,928.3,1019.465
"SCN7A",80.57,45.53,41.81,271.48,18.855,8.19,525.39,113.56,9.63,38.67,12.5,72.52,514.56
"AC007461.1",0,58.3,0,0,0,1.77,0,0,3.76,0,8.13,0,0
"AGXT",0.75,4.82,1.64,11.38,95.695,59474.18,0.64,1.265,1.69,2.47,0.17,0.36,2.58
"MAPK4",69.03,24.63,40.36,55.1,153.925,8.78,68.07,108.52,10.88,18.36,154.96,20.565,92.7
"ANKRD13C",232.94,267.73,224.97,215.77,215.815,102.97,214.27,231.32,199.85,200.55,221.09,228.13,234.57
"AGAP1",169.07,239.52,244.57,309.83,257.675,74.58,159.9,165.57,156.59,231.32,142.01,163.855,352.365
"EFNA3",46.18,150.17,78.34,98.73,42.565,23.76,29.06,101.9,327.56,79.73,43.32,64.14,555.41
"RASA1",366.09,620.67,356.05,332.14,359.84,135.24,373.81,349.925,358.54,287.01,502.205,384.34,379.04
"ZFP2",28.04,77.79,60.82,35,50.725,10.79,30.56,58.095,14.78,25.63,72.775,94.67,78.34
"KCTD6",167.9,246.28,223.41,197.09,247.14,205.5,156.59,192.34,169.07,157.135,313.085,340.34,268.665
"TSPAN32",50.98,23.93,32.13,34.75,9.45,22.92,138.1,20.71,14.24,37.05,26.475,60.39,37.32
"LDHD",66.65,251.48,76.71,356.05,1062.955,3443.31,191.67,333.315,285.03,644.83,412,160.46,366.09
"SLC31A2",231.32,547.75,141.02,221.86,357.775,332.14,974.5,215.05,656.11,282.07,173.85,106.66,244.57
"FGD1",93.35,106.63,197.09,104.42,76.545,14.89,65.26,100.83,115.16,79.73,88.88,199.16,139.07
"CCDC124",2061.24,1135.2,2591.27,2209.26,1573.705,1340.84,1769.57,1991,2384.37,1984.12,1838.385,2477.08,2573.36
"GNB1",4066.71,4512.4,4152.18,4010.71,4080.855,1733.13,4769.75,3928.15,2796.65,3874.05,3103.19,3969.235,3901.01
"ANK1",30.78,18.84,12.55,13.93,19.615,4.06,15.91,46.34,59.97,37.32,12.5,13.125,30.78
"UFD1L",1295.13,1268.46,1369.04,1498.22,1304.18,1199.98,1407.55,1567.325,1733.13,1402.69,1378.57,1703.355,1336.205
"GPRASP1",271.48,197.09,389.72,173.85,131.235,25.91,83.45,274.325,36.27,62.56,585.1,400.71,368.65
"C6orf136",323.03,299.25,318.57,808,705.73,414.87,307.69,383.01,414.87,581.055,581.055,328.7,567.1
"CCDC102A",295.11,226.54,723.08,167.9,150.17,43.94,197.09,299.275,108.14,123.07,236.21,583.125,320.8
"CNR1",15.45,63,16.63,102.97,3.29,1.6,112.77,15.51,6.67,42.26,27.345,18.195,127.89
"NDUFA4",3018.3,2875.3,2758.13,2956.17,4232.11,3564.78,2875.3,3280.26,2895.31,3755.07,3124.78,3755.25,3874.05
